D:\anaconda3\python.exe E:/zhangxirui/RAFT/train.py 
Namespace(name='raft-sintel', stage='sintel', restore_ckpt='checkpoints/raft-name.pth', small=False, validation=['sintel'], lr=0.0001, num_steps=120000, batch_size=8, image_size=[368, 768], gpus=[0], mixed_precision=True, iters=12, wdecay=1e-05, epsilon=1e-08, clip=1.0, dropout=0.0, gamma=0.85, add_noise=False)
Parameter Count: 10584674
Training with 208200 image pairs
D:\anaconda3\lib\site-packages\torch\functional.py:445: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ..\aten\src\ATen\native\TensorShape.cpp:2157.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
D:\anaconda3\lib\site-packages\torch\optim\lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[  7500,  0.0000987]     0.8682,     0.9366,     0.9541,     1.8789, 
[  7600,  0.0000986]     0.8556,     0.9248,     0.9445,     1.9916, 
[  7700,  0.0000985]     0.8576,     0.9286,     0.9467,     2.1549, 
[  7800,  0.0000984]     0.8595,     0.9298,     0.9475,     2.5326, 
[  7900,  0.0000983]     0.8556,     0.9249,     0.9437,     2.4225, 
[  8000,  0.0000983]     0.8591,     0.9293,     0.9479,     2.0610, 
[  8100,  0.0000982]     0.8702,     0.9356,     0.9527,     1.9499, 
[  8200,  0.0000981]     0.8726,     0.9375,     0.9544,     1.7309, 
[  8300,  0.0000980]     0.8432,     0.9181,     0.9391,     2.5777, 
[  8400,  0.0000979]     0.8555,     0.9277,     0.9468,     2.2745, 
[  8500,  0.0000978]     0.8454,     0.9169,     0.9361,     2.9812, 
[  8600,  0.0000977]     0.8674,     0.9344,     0.9522,     1.8634, 
[  8700,  0.0000976]     0.8608,     0.9318,     0.9500,     1.9761, 
[  8800,  0.0000976]     0.8719,     0.9382,     0.9560,     1.4910, 
[  8900,  0.0000975]     0.8603,     0.9290,     0.9474,     1.9388, 
[  9000,  0.0000974]     0.8524,     0.9248,     0.9450,     2.4236, 
[  9100,  0.0000973]     0.8502,     0.9245,     0.9445,     2.1949, 
[  9200,  0.0000972]     0.8609,     0.9297,     0.9476,     1.9834, 
[  9300,  0.0000971]     0.8665,     0.9332,     0.9510,     1.8585, 
[  9400,  0.0000970]     0.8509,     0.9221,     0.9419,     2.3325, 
[  9500,  0.0000969]     0.8532,     0.9250,     0.9441,     2.2094, 
[  9600,  0.0000968]     0.8625,     0.9365,     0.9540,     1.8277, 
[  9700,  0.0000968]     0.8667,     0.9358,     0.9535,     1.6658, 
[  9800,  0.0000967]     0.8678,     0.9355,     0.9538,     1.6901, 
[  9900,  0.0000966]     0.8690,     0.9358,     0.9536,     1.7956, 
[ 10000,  0.0000965]     0.8644,     0.9306,     0.9481,     2.0432, 
Validation (clean) EPE: 1.036592, 1px: 0.910078, 3px: 0.961938, 5px: 0.973617
Validation (final) EPE: 1.766183, 1px: 0.869604, 3px: 0.934910, 5px: 0.953691
[ 10100,  0.0000964]     0.8690,     0.9346,     0.9518,     1.7916, 
[ 10200,  0.0000963]     0.8652,     0.9309,     0.9502,     2.0842, 
[ 10300,  0.0000962]     0.8687,     0.9381,     0.9559,     1.6598, 
[ 10400,  0.0000961]     0.8679,     0.9348,     0.9522,     1.7145, 
[ 10500,  0.0000961]     0.8622,     0.9310,     0.9495,     2.1018, 
